Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","002","África","5111","Existencias","02123","Caprinos","1961","1961","3050","FAO TIER 1","Cabeza","94203845","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","32.0731","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","488.8981","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","471.0192","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","28263979.6154","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","17.8789","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.111","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.111","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","1399066990.9598","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","419720097.2879","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","279813398.192","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","31.3291","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","21.9853","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","9.3438","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","4.9467","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","4.3971","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","28263979.6154","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","8479193.8846","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","5652795.9231","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.6329","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.4441","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.1888","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.0999","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","002","África","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.0888","E","Valor estimado",""
