Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","019","Américas","5111","Existencias","02123","Caprinos","1961","1961","3050","FAO TIER 1","Cabeza","33248348","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","10.5407","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","171.6989","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","166.2417","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","6227975.3002","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","5.4572","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.0489","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.0489","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","462304722.8468","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","138691416.854","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","92460944.5694","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","10.3523","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","7.2648","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","3.0875","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","1.6346","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","1.453","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","6227975.3002","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","1868392.5901","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","1245595.06","E","Valor estimado",""
