Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","142","Asia","5111","Existencias","02123","Caprinos","1961","1961","3050","FAO TIER 1","Cabeza","198406213","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","67.6833","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","1021.3893","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","992.0311","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","124315378.2823","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","29.3582","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.9768","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.9768","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","2854603778.5972","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","856381133.5792","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","142","Asia","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","570920755.7194","E","Valor estimado",""
