Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","150","Europa","5111","Existencias","02123","Caprinos","1961","1961","3050","FAO TIER 1","Cabeza","22473468","A","Cifra oficial",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","9.2278","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","115.3335","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","112.3673","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","22373434.8401","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","2.9662","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.1758","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.1758","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","150","Europa","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","381861328.7695","E","Valor estimado",""
