Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","5111","Existencias","02123","Caprinos","1961","1961","3050","FAO TIER 1","Cabeza","291588","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.1082","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","1.5076","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","1.4579","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.0496","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","4833479.212","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","1450043.7636","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kg","966695.8424","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","009","Oceanía","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1961","1961","3050","FAO TIER 1","kilotones","0.1082","E","Valor estimado",""
